PlayerID	SessionID	ChoiceClickCount	ChoiceClickCount-Action	IdleState15	IdleState15-Count	PlayerAttributes	SkillSequenceCount	SkillSequenceCount-Event Sequence	TextClickCount	lvl1_LevelStoryAlignment	lvl2_LevelStoryAlignment	lvl3_LevelStoryAlignment	lvl4_LevelStoryAlignment	lvl5_LevelStoryAlignment	lvl6_LevelStoryAlignment
null	23021312160519289	0	0	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
null	23021709502949165	1	1	0:00:00	0	null	0	[]	2	0	0	0	0	0	0
null	23021711075793730	3	3	0:01:59.860000	3	null	0	[]	7	0	0	0	0	0	0
null	23022109495968159	8	8	0:57:55.740000	7	null	0	[]	18	0	0	0	0	0	0
null	23022113585606513	7	7	0:00:00	0	null	0	[]	17	0	0	0	0	0	0
null	23022114394236279	1	1	0:00:00	0	null	0	[]	3	0	0	0	0	0	0
null	23022114502703190	8	8	0:00:00	0	null	0	[]	18	0	0	0	0	0	0
null	23022114514166187	4	4	0:00:00	0	null	0	[]	8	0	0	0	0	0	0
null	23022114522630900	1	1	0:00:00	0	null	0	[]	2	0	0	0	0	0	0
null	23022115023805419	0	0	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
null	23022115212227864	0	0	0:00:00	0	null	0	[]	1	0	0	0	0	0	0
null	23022115222913803	0	0	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
null	23022115240818544	1	1	0:00:00	0	null	0	[]	2	0	0	0	0	0	0
null	23022717352864791	1	1	0:00:00	0	null	0	[]	2	0	0	0	0	0	0
null	23022810413422133	1	1	0:00:00	0	null	0	[]	2	0	0	0	0	0	0
null	23022810433110279	1	1	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
null	23022810450093567	1	1	0:01:56.713000	1	null	0	[]	0	0	0	0	0	0	0
null	23022810502653076	1	1	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
null	23022810555991175	2	2	0:00:00	0	null	0	[]	3	0	0	0	0	0	0
null	23022810574367406	2	2	0:00:00	0	null	0	[]	4	0	0	0	0	0	0
null	23022811045030365	1	1	0:00:00	0	null	0	[]	0	0	0	0	0	0	0
